GEO.id,GEO.id2,GEO.display-label,HD01_VD10,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19,Alternate Commuters
Id,Id2,Geography,Estimate; Public transportation (excluding taxicab):,Estimate; Taxicab,Estimate; Motorcycle,Estimate; Bicycle,Estimate; Walked,AltComm
1500000US390490004201,3.90E+11,"Block Group 1, Census Tract 4.20, Franklin County, Ohio",13,0,0,10,9,32
1500000US390490004202,3.90E+11,"Block Group 2, Census Tract 4.20, Franklin County, Ohio",0,0,0,8,20,28
1500000US390490004203,3.90E+11,"Block Group 3, Census Tract 4.20, Franklin County, Ohio",12,0,0,10,1,23
1500000US390490004204,3.90E+11,"Block Group 4, Census Tract 4.20, Franklin County, Ohio",10,0,0,46,30,86
1500000US390490005001,3.90E+11,"Block Group 1, Census Tract 5, Franklin County, Ohio",30,0,0,30,14,74
1500000US390490005002,3.90E+11,"Block Group 2, Census Tract 5, Franklin County, Ohio",15,0,0,44,0,59
1500000US390490005003,3.90E+11,"Block Group 3, Census Tract 5, Franklin County, Ohio",130,0,15,28,26,199
1500000US390490005004,3.90E+11,"Block Group 4, Census Tract 5, Franklin County, Ohio",72,0,0,34,0,106
1500000US390490006001,3.90E+11,"Block Group 1, Census Tract 6, Franklin County, Ohio",0,0,0,16,53,69
1500000US390490006002,3.90E+11,"Block Group 2, Census Tract 6, Franklin County, Ohio",8,0,0,44,103,155
1500000US390490006003,3.90E+11,"Block Group 3, Census Tract 6, Franklin County, Ohio",0,0,0,61,26,87
1500000US390490006004,3.90E+11,"Block Group 4, Census Tract 6, Franklin County, Ohio",55,0,0,29,20,104
1500000US390490006005,3.90E+11,"Block Group 5, Census Tract 6, Franklin County, Ohio",7,0,0,6,34,47
