,No,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
125,125,1227.0642491069998,15240.636944419,3648.078519561,16264.178558599,523.7414316280001,130.75247840400002,1442.2541186339997,783.9378661769999,455.01872019200005,108.851269599
126,126,640.1513173920993,2799.4785076480002,2444.4362913506284,3558.0811195020005,433.8325423371324,347.43796924400004,1021.0373529572648,260.932192732,349.4150786641324,150.232449878
127,127,1057.936172628,1141.685820482,4077.007758109,2263.46719999,729.4146592210001,6.181100132,1810.2369878270001,969.021932771,479.419938433,146.57834660499998
128,128,106.00546390004091,0.0,376.62988049516747,2454.5473488953276,36.83943637201489,0.0,176.6775303360893,2265.592875172321,57.10744988702232,188.95447372300617
129,129,226.268249578,259.205699037,933.399505769,3812.0032740459997,123.333351747,858.585329891,485.876876132,1832.661423019,97.92102831199999,861.550822099
130,130,538.9268842760011,48.761132856,2129.5096817820045,7001.148102683001,222.4548139220004,1809.909148511,1197.4473143940031,4766.002273043,170.68066919000026,376.475548273
131,131,,0.0,,19592.807756365,,25.987925175,,19485.438416905003,,81.381414285
132,132,60.085763246999996,293.27470744600004,180.285878425,2556.2936087040002,16.251946569,85.461993864,81.86512690800001,2078.40262061,22.083041701,99.15428678399999
133,133,1118.0809783210002,48.547414954000004,3076.803191053001,1267.1941923529998,353.113337223,1.3038550770000001,1317.329519774,1211.456373121,288.279355735,5.886549201000001
134,134,843.6244610430001,9.550982067,2563.4658799149997,114.18970726500001,322.8882821429999,0.0,1121.927449374,104.63872519799999,275.025687355,0.0
135,135,1024.504718383,1.175902415,2723.115254113,98.884752202,285.315420778,47.516758171999996,1117.58985803,42.431135676000004,295.705256922,7.760955939
136,136,679.5840561370001,350.87691237,2033.9300155430003,5959.743053916999,257.63299517,1915.536914601,861.378423074,1423.96285341,235.33454116199997,2269.3663735359996
137,137,1126.332240403045,280.377335109,3666.352182974224,1090.8775100720798,381.0239267200334,19.717893435,1729.7862123331201,772.6227582260799,429.20980351802615,18.159523302
138,138,412.79215208999995,4392.952314659,1208.068170417,4786.6512629730005,174.24269848699998,241.688011012,475.42403851700004,91.588934549,145.609281323,60.422002753
139,139,939.014423072,1162.341246898,3842.8749302290003,1813.229126513,701.0326996419999,55.497831774999995,1763.3958974279997,507.656538487,439.4319100869999,87.73350935299999
140,140,414.0057557791416,25.159677432,2038.5568899785792,1979.8937566011325,310.01829072305156,0.0,1054.1861036723087,1866.0361951641112,260.3467398040772,88.69788400502146
141,141,25.044948865000002,27.675848006000002,101.588402291,1104.0266081902116,13.433755895000001,87.562492238,52.272623024,896.5491132072054,10.837074507,92.2391547390061
142,142,175.939478605,63.237227794000006,503.42774281900006,4425.451618102001,59.139821815000005,25.191458981999997,207.046468776,4240.022251235,61.30197362300001,97.000680091
143,143,35.130766811,8.440678256,113.47180310299998,20890.389681206,10.601713445,2.595517785,53.811982926,20832.24209725,13.927339920999998,47.11138791500001
144,144,1541.747570875,93.665218454,4700.054407318,2036.7017467729997,456.85460479899996,743.007602939,2029.187987644,1088.563530873,672.2642439999998,111.465394507
145,145,737.7774162030349,736.7457962191324,1959.0998376441146,5274.630139896424,208.63947155801895,62.97443619207701,794.6708786790548,4426.983850605918,218.0120712040058,47.92605687929678
146,146,1316.1756774589999,0.0,3677.1880482589995,115.321779733,420.38448200999994,0.0,1420.417104736,68.869608073,520.2107840540001,46.452171660000005
147,147,712.991519314,1790.425528763,2210.7665964730004,6115.9297978469995,193.287990304,1458.9089619139997,1029.817984206,2866.59530717,274.669102649,0.0
148,148,1442.816060402,451.344431749,5163.955842183999,4046.6516555969997,592.039992927,1153.591131939,2412.925021743,1309.492178221,716.1747671120002,1132.223913688
149,149,1145.1545056289997,37.834760271,3395.425615667001,629.209341533,415.74303755600005,214.01574793499998,1470.052107874,377.04647381700005,364.47596460799997,0.31235951
150,150,1066.640658770171,119.646515044,2895.070467081419,201.35996379099998,312.362989772038,0.0,1193.6893382141518,81.71344874699999,322.377480325057,0.0
151,151,666.206815943,2587.478824938,2951.5129801670005,3586.221505256001,423.792489106,269.79546588000005,1499.8685341249998,545.992332051,361.645140993,182.95488238700003
152,152,857.4091058325088,0.0,3213.621570507943,588.3869573180001,535.30461981237,0.0,1405.7233970127402,580.388966855,415.1844478503238,7.997990463
153,153,869.4267432199999,204.425973877,3061.6241743389996,4070.49680424,360.19107933399994,115.13936037399998,1608.439474957,3695.96526635,223.56687682799998,54.966203639
154,154,381.83866772199997,35.443789191,1267.6805871289998,3364.0339186049996,148.809693323,27.364183756,629.3579303600001,3237.850950293,107.67429572399999,63.374995365
155,155,153.555808604,152.753852974,449.43222136599996,6313.581719162001,53.055693328,0.0,187.736591766,6097.129507964,55.084127667999994,63.698358224
156,156,614.9993911469999,29.127128776,1769.3808703360005,949.767836388,234.56483506000004,25.833456375,742.3077804029999,729.230446307,177.508863726,165.57680493
157,157,817.7586501360972,290.14137689823315,2097.231586407331,2688.4214132676243,156.11240875704277,110.15224294410503,898.7363799741595,1894.2306054892078,224.62414754003112,393.8971879360778
158,158,562.1707868100017,1908.3618958470204,1450.7939644400053,13341.613027414141,158.00546696500075,174.26711123400173,575.4530360380026,11117.801862098118,155.16467462700052,141.18215823500128
159,159,636.323980744,2883.7212476739996,1922.6735345329998,11516.639177383,205.55722180200002,247.59597443100003,854.0006210199999,7977.21192125,226.79171096700003,408.11003402800003
160,160,1125.321072155079,63.0465096,4031.5794737832884,138.303508147,583.6008793210452,0.0,1810.631691438135,75.25699854700001,512.0258308690281,0.0
161,161,726.1251343680001,770.3125969689999,2458.6658259250003,2879.357476168,211.770945517,320.095935915,1251.7735892710002,208.74379417100002,268.9961567689999,1580.205149113
